text,intent,sentiment
Where is my order?,track_order,neutral
Can you check my order status?,track_order,neutral
I need to track my package,track_order,neutral
What's the status of my delivery?,track_order,neutral
When will my order arrive?,track_order,neutral
Track my order please,track_order,neutral
Where is my package?,track_order,neutral
Can I get an update on my order?,track_order,neutral
I want to know where my order is,track_order,neutral
Please check the status of my shipment,track_order,neutral
What's happening with my delivery?,track_order,neutral
I need an update on my package,track_order,neutral
Can you tell me where my order is?,track_order,neutral
Order tracking please,track_order,neutral
Status of my delivery?,track_order,neutral
I'd like to track my order,track_order,neutral
Where's my delivery?,track_order,neutral
Can you locate my package?,track_order,neutral
I need to know my order status,track_order,neutral
Please track order,track_order,neutral
Check my delivery status,track_order,neutral
Where is order?,track_order,neutral
Track package,track_order,neutral
Order status?,track_order,neutral
My order hasn't arrived yet,track_order,neutral
Still waiting for my package,track_order,neutral
Has my order shipped?,track_order,neutral
Is my package on the way?,track_order,neutral
When should I expect my delivery?,track_order,neutral
Estimated delivery time?,track_order,neutral
Where is my order? It should have arrived by now,track_order,negative
My package still hasn't arrived what's happening?,track_order,negative
Still no sign of my order,track_order,negative
I'm worried about my order,track_order,negative
Getting concerned about my package,track_order,negative
My order is very late,report_delivery_delay,negative
The delivery is delayed and I'm frustrated,report_delivery_delay,negative
Why hasn't my package arrived yet? It's been a week!,report_delivery_delay,negative
This is taking way too long where is my order?,report_delivery_delay,negative
I'm very upset about the late delivery,report_delivery_delay,negative
Extremely disappointed with the delivery time,report_delivery_delay,negative
My order should have been here days ago,report_delivery_delay,negative
The package is very late,report_delivery_delay,negative
Delivery is taking forever,report_delivery_delay,negative
This delay is unacceptable,report_delivery_delay,negative
Why is my order so delayed?,report_delivery_delay,negative
My delivery is overdue,report_delivery_delay,negative
Package is late again,report_delivery_delay,negative
Another delayed delivery,report_delivery_delay,negative
When will this finally arrive?,report_delivery_delay,negative
The estimated delivery date has passed,report_delivery_delay,negative
My order is past the delivery window,report_delivery_delay,negative
Still waiting and it's already late,report_delivery_delay,negative
Delivery delay is frustrating,report_delivery_delay,negative
This is the third delay,report_delivery_delay,negative
Not happy with the late delivery,report_delivery_delay,negative
My package is overdue by several days,report_delivery_delay,negative
The delivery date keeps getting pushed back,report_delivery_delay,negative
I was promised delivery yesterday,report_delivery_delay,negative
Expected it last week,report_delivery_delay,negative
Way past the expected delivery date,report_delivery_delay,negative
Been waiting too long,report_delivery_delay,negative
Delivery is severely delayed,report_delivery_delay,negative
This delay is ridiculous,report_delivery_delay,negative
How much longer will I have to wait?,report_delivery_delay,negative
The package was supposed to arrive days ago,report_delivery_delay,negative
I want a refund,request_refund,negative
Please cancel my order and refund me,request_refund,negative
I need my money back,request_refund,negative
Refund my order immediately,request_refund,negative
I want to return this and get a refund,request_refund,negative
Cancel my order I don't want it anymore,request_refund,negative
Process my refund please,request_refund,negative
I want a full refund,request_refund,negative
Please refund this order,request_refund,negative
Can I get my money back?,request_refund,negative
I need a refund,request_refund,negative
Refund please,request_refund,negative
I want to cancel and get refunded,request_refund,negative
Return and refund,request_refund,negative
Full refund requested,request_refund,negative
Please return my money,request_refund,negative
I'm requesting a refund,request_refund,negative
Refund this purchase,request_refund,negative
Cancel order and refund,request_refund,negative
I don't want this anymore refund me,request_refund,negative
Get me my money back,request_refund,negative
I want my payment back,request_refund,negative
Issue a refund,request_refund,negative
Please process a refund,request_refund,negative
I'd like to request a refund,request_refund,negative
Can you refund my order?,request_refund,negative
Refund immediately,request_refund,negative
I need a full refund for this,request_refund,negative
Return this and give me my money back,request_refund,negative
Refund my payment,request_refund,negative
How do I request a refund?,request_refund,neutral
Can I cancel my order?,request_refund,neutral
What's your refund policy?,request_refund,neutral
How do I get a refund?,request_refund,neutral
Can I return this item?,request_refund,neutral
What's the process for refunds?,request_refund,neutral
How can I cancel my order?,request_refund,neutral
Is it possible to get a refund?,request_refund,neutral
Can I return my order?,request_refund,neutral
What are the refund options?,request_refund,neutral
How long does a refund take?,request_refund,neutral
Refund process?,request_refund,neutral
Can I still cancel?,request_refund,neutral
Return policy?,request_refund,neutral
Do you deliver on weekends?,other,neutral
What are your business hours?,other,neutral
How can I contact customer support?,other,neutral
What payment methods do you accept?,other,neutral
I need help,other,neutral
Can you assist me?,other,neutral
Hello,other,neutral
Hi there,other,neutral
Good morning,other,neutral
Thanks,other,neutral
Thank you,other,neutral
Okay,other,neutral
Yes,other,neutral
No,other,neutral
Got it,other,neutral
Understood,other,neutral
Alright,other,neutral
What?,other,neutral
Huh?,other,neutral
I don't understand,other,neutral
Can you repeat that?,other,neutral
What did you say?,other,neutral
I have a question,other,neutral
Can you help me?,other,neutral
I need assistance,other,neutral
Support please,other,neutral
Help me,other,neutral
Customer service,other,neutral
Talk to agent,other,neutral
Human please,other,neutral
I want to speak to a human,other,neutral
Connect me to a person,other,neutral
Let me talk to someone,other,neutral
I need to speak with an agent,other,neutral
Transfer me to customer service,other,neutral
Can I talk to a real person?,other,neutral
Get me a human agent,other,neutral
I want to speak with someone,other,neutral
Connect me to support,other,neutral
Live agent please,other,neutral
Do you have customer support?,other,neutral
How can I reach support?,other,neutral
What's your contact number?,other,neutral
Email address?,other,neutral
How to contact you?,other,neutral
Support email?,other,neutral
Phone number?,other,neutral
Opening hours?,other,neutral
Are you open today?,other,neutral
What time do you close?,other,neutral
Store hours?,other,neutral
When are you available?,other,neutral
Can I order now?,other,neutral
Do you ship internationally?,other,neutral
Shipping cost?,other,neutral
Delivery charges?,other,neutral
Free shipping?,other,neutral
How much is delivery?,other,neutral
What's the shipping fee?,other,neutral
Do you offer free delivery?,other,neutral
Shipping rates?,other,neutral
International delivery?,other,neutral
Do you ship to my country?,other,neutral
Delivery options?,other,neutral
Express shipping available?,other,neutral
Same day delivery?,other,neutral
Next day delivery?,other,neutral
How fast can you deliver?,other,neutral
Fastest delivery option?,other,neutral
Payment options?,other,neutral
Do you accept credit cards?,other,neutral
Can I pay with PayPal?,other,neutral
Cash on delivery?,other,neutral
Do you take debit cards?,other,neutral
Payment methods available?,other,neutral
Can I pay by bank transfer?,other,neutral
Do you accept Apple Pay?,other,neutral
Google Pay accepted?,other,neutral
What about cryptocurrency?,other,neutral
Installment payment?,other,neutral
Pay in installments?,other,neutral
Can I pay later?,other,neutral
Buy now pay later?,other,neutral
Product information?,other,neutral
Tell me about this product,other,neutral
Product details?,other,neutral
Is this in stock?,other,neutral
When will it be available?,other,neutral
Out of stock?,other,neutral
Do you have this in different colors?,other,neutral
Size availability?,other,neutral
Different sizes?,other,neutral
Colors available?,other,neutral
Product specifications?,other,neutral
What's this made of?,other,neutral
Material?,other,neutral
Ingredients?,other,neutral
How to use this?,other,neutral
Instructions?,other,neutral
User manual?,other,neutral
Warranty information?,other,neutral
Do you offer warranty?,other,neutral
Guarantee?,other,neutral
Return window?,other,neutral
How long to return?,other,neutral
Exchange policy?,other,neutral
Can I exchange this?,other,neutral
Items missing from my order,report_order_content_issue,negative
I received the wrong items,report_order_content_issue,negative
My package arrived damaged,report_order_content_issue,negative
Half of my order is missing,report_order_content_issue,negative
The product I received is not what I ordered,report_order_content_issue,negative
The items are broken and damaged,report_order_content_issue,negative
Wrong product delivered,report_order_content_issue,negative
Incorrect items in my package,report_order_content_issue,negative
Missing items from delivery,report_order_content_issue,negative
Received damaged goods,report_order_content_issue,negative
Package contents are wrong,report_order_content_issue,negative
This isn't what I ordered,report_order_content_issue,negative
Items are defective,report_order_content_issue,negative
Product is broken,report_order_content_issue,negative
Wrong size delivered,report_order_content_issue,negative
Wrong color sent,report_order_content_issue,negative
Incomplete order,report_order_content_issue,negative
Part of my order is missing,report_order_content_issue,negative
Damaged package,report_order_content_issue,negative
Broken items,report_order_content_issue,negative
Wrong product sent,report_order_content_issue,negative
Received incorrect items,report_order_content_issue,negative
Not the right product,report_order_content_issue,negative
Defective product received,report_order_content_issue,negative
Items don't match order,report_order_content_issue,negative
Package is incomplete,report_order_content_issue,negative
Missing products,report_order_content_issue,negative
Some items weren't delivered,report_order_content_issue,negative
Package arrived broken,report_order_content_issue,negative
Products are damaged,report_order_content_issue,negative
Thank you! The delivery was excellent!,provide_feedback_on_service,positive
Great service very happy with my order,provide_feedback_on_service,positive
Amazing! Everything arrived perfectly,provide_feedback_on_service,positive
I'm very satisfied with the delivery,provide_feedback_on_service,positive
Excellent job thank you so much!,provide_feedback_on_service,positive
Perfect delivery experience,provide_feedback_on_service,positive
Outstanding service,provide_feedback_on_service,positive
Very impressed with the service,provide_feedback_on_service,positive
Fantastic delivery,provide_feedback_on_service,positive
Really happy with everything,provide_feedback_on_service,positive
Best delivery service ever,provide_feedback_on_service,positive
Wonderful experience,provide_feedback_on_service,positive
Superb service,provide_feedback_on_service,positive
Excellent customer service,provide_feedback_on_service,positive
Top notch delivery,provide_feedback_on_service,positive
Very professional,provide_feedback_on_service,positive
